configuration,question_id,plugin,mode,elapsed_ms,input_norm,output_norm,delta_norm
cohesion_calibrated,nq_106,cohesion,add,0.21888999981456436,5.860220240683469,5.883819260666877,0.023599019983408916
cohesion_calibrated,nq_107,baseline,replace,0.14674599992758885,0.0,5.6452552741674475,5.6452552741674475
cohesion_calibrated,nq_107,cohesion,add,0.2324040001440153,5.6452552741674475,5.6669423337115665,0.02168705954411924
cohesion_calibrated,nq_108,baseline,replace,0.1511410000603064,0.0,5.900434515241386,5.900434515241386
cohesion_calibrated,nq_108,cohesion,add,0.21569000000454253,5.900434515241386,5.926870182533727,0.026435667292340204
cohesion_calibrated,nq_109,baseline,replace,0.16466600004605425,0.0,5.431032230756602,5.431032230756602
cohesion_calibrated,nq_109,cohesion,add,0.21424600004138483,5.431032230756602,5.434145697133922,0.0031134663773200485
cohesion_calibrated,nq_110,baseline,replace,0.14944300005481637,0.0,5.830294945692953,5.830294945692953
cohesion_calibrated,nq_110,cohesion,add,0.22121300003163924,5.830294945692953,5.850149044116951,0.019854098423998143
cohesion_calibrated,nq_111,baseline,replace,0.1499229999808449,0.0,6.5283183313144155,6.5283183313144155
cohesion_calibrated,nq_111,cohesion,add,0.21734599999945203,6.5283183313144155,6.530128533160807,0.0018102018463912854
cohesion_calibrated,nq_112,baseline,replace,0.14755699999113858,0.0,6.35230396054689,6.35230396054689
cohesion_calibrated,nq_112,cohesion,add,0.21625800013680418,6.35230396054689,6.352806899650024,0.0005029391031338261
cohesion_calibrated,nq_113,baseline,replace,0.1505800000813906,0.0,5.132083564583571,5.132083564583571
cohesion_calibrated,nq_113,cohesion,add,0.24040200014496804,5.132083564583571,5.132832098465145,0.0007485338815746343
cohesion_calibrated,nq_114,baseline,replace,0.14799700011280947,0.0,6.16133456069944,6.16133456069944
cohesion_calibrated,nq_114,cohesion,add,0.21618599998873833,6.16133456069944,6.217954707942079,0.056620147242639036
cohesion_calibrated,nq_115,baseline,replace,0.14238299991120584,0.0,5.528210141143213,5.528210141143213
cohesion_calibrated,nq_115,cohesion,add,0.23102099999050552,5.528210141143213,5.528494772648606,0.0002846315053926486
cohesion_calibrated,nq_116,baseline,replace,0.14705100011269678,0.0,6.350153693677467,6.350153693677467
cohesion_calibrated,nq_116,cohesion,add,0.22921400000086578,6.350153693677467,6.353660690992249,0.0035069973147822133
cohesion_calibrated,nq_117,baseline,replace,0.15416900009768142,0.0,6.390835199650775,6.390835199650775
cohesion_calibrated,nq_117,cohesion,add,0.2445259999603877,6.390835199650775,6.391578220915429,0.0007430212646544346
cohesion_calibrated,nq_118,baseline,replace,0.17044399987753422,0.0,5.318257179123883,5.318257179123883
cohesion_calibrated,nq_118,cohesion,add,0.21890999983043002,5.318257179123883,5.339438976723814,0.021181797599931523
cohesion_calibrated,nq_119,baseline,replace,0.15544500001851702,0.0,6.007831329873967,6.007831329873967
cohesion_calibrated,nq_119,cohesion,add,0.21982299995215726,6.007831329873967,6.067094464752783,0.05926313487881578
cohesion_calibrated,nq_120,baseline,replace,0.15818100018805126,0.0,5.4089148134645715,5.4089148134645715
cohesion_calibrated,nq_120,cohesion,add,0.2255079998576548,5.4089148134645715,5.4240574334752205,0.015142620010648724
cohesion_calibrated,nq_121,baseline,replace,0.1517370001238305,0.0,5.865565066742187,5.865565066742187
cohesion_calibrated,nq_121,cohesion,add,0.21925500004726928,5.865565066742187,5.86755098513473,0.0019859183925427897
cohesion_calibrated,nq_122,baseline,replace,0.15692099987063557,0.0,5.749629324697858,5.749629324697858
cohesion_calibrated,nq_122,cohesion,add,0.2322410000488162,5.749629324697858,5.760137175141753,0.010507850443895272
cohesion_calibrated,nq_123,baseline,replace,0.14855500012345146,0.0,5.875222295083746,5.875222295083746
cohesion_calibrated,nq_123,cohesion,add,0.23283200016521732,5.875222295083746,5.875377502405567,0.0001552073218213637
cohesion_calibrated,nq_124,baseline,replace,0.15138399999159446,0.0,5.197482551899888,5.197482551899888
cohesion_calibrated,nq_124,cohesion,add,0.21945000003142923,5.197482551899888,5.217004418479601,0.019521866579713703
cohesion_calibrated,nq_125,baseline,replace,0.14825399989604193,0.0,5.960190670773323,5.960190670773323
cohesion_calibrated,nq_125,cohesion,add,0.2113329999247071,5.960190670773323,5.9633375168966225,0.0031468461232997667
cohesion_calibrated,nq_126,baseline,replace,0.14728199994351598,0.0,5.147728864754875,5.147728864754875
cohesion_calibrated,nq_126,cohesion,add,0.21932499998911226,5.147728864754875,5.14972183330141,0.001992968546534833
cohesion_calibrated,nq_127,baseline,replace,0.14806900003350165,0.0,5.600850238536994,5.600850238536994
cohesion_calibrated,nq_127,cohesion,add,0.21822799999426934,5.600850238536994,5.601388814006336,0.000538575469342604
cohesion_calibrated,nq_128,baseline,replace,0.15207999990707322,0.0,5.941487765171843,5.941487765171843
cohesion_calibrated,nq_128,cohesion,add,0.23996899994926935,5.941487765171843,5.950946307349694,0.009458542177851139
cohesion_calibrated,nq_129,baseline,replace,0.16361300004064105,0.0,5.736876838454489,5.736876838454489
cohesion_calibrated,nq_129,cohesion,add,0.21832900006302225,5.736876838454489,5.76235828729289,0.025481448838399895
cohesion_calibrated,nq_130,baseline,replace,0.15957200002958416,0.0,5.815627910400288,5.815627910400288
cohesion_calibrated,nq_130,cohesion,add,0.21529299988287676,5.815627910400288,5.837615828862949,0.021987918462661116
cohesion_calibrated,nq_131,baseline,replace,0.14325799998005095,0.0,6.379454002022875,6.379454002022875
cohesion_calibrated,nq_131,cohesion,add,0.2305299999534327,6.379454002022875,6.384406844157122,0.004952842134247354
cohesion_calibrated,nq_132,baseline,replace,0.14898700010235189,0.0,6.049118075908171,6.049118075908171
cohesion_calibrated,nq_132,cohesion,add,0.21977500000502914,6.049118075908171,6.060730113499884,0.011612037591712953
