💾 Output directory: /root/QORE-VLM/exchange/idea7_phase2/20260731T120040/training
📚 Loading training data from /root/QORE-VLM/exchange/idea7_phase2/20260731T120040/data_prep/result.json
   Loaded 156 valid samples
   Train: 124, Val: 32
🖥️  Device: cuda
🧠 Model: LearnableQUBO

🚀 Starting training for 100 epochs
Epoch  61/100 | T=0.300 | Loss=0.8905 | Recall=0.1011 | Val_Recall=0.3224 | w_a=1.380 | w_b=1.000
Epoch  62/100 | T=0.300 | Loss=0.8915 | Recall=0.1284 | Val_Recall=0.3224 | w_a=1.321 | w_b=1.000
Epoch  63/100 | T=0.300 | Loss=0.8932 | Recall=0.1374 | Val_Recall=0.3224 | w_a=1.506 | w_b=1.000
Epoch  64/100 | T=0.300 | Loss=0.8900 | Recall=0.1440 | Val_Recall=0.3224 | w_a=1.270 | w_b=1.000
Epoch  65/100 | T=0.300 | Loss=0.8941 | Recall=0.1186 | Val_Recall=0.3224 | w_a=1.463 | w_b=1.000
Epoch  66/100 | T=0.300 | Loss=0.8938 | Recall=0.1127 | Val_Recall=0.3224 | w_a=1.610 | w_b=1.000
Epoch  67/100 | T=0.300 | Loss=0.8918 | Recall=0.1400 | Val_Recall=0.3224 | w_a=1.509 | w_b=1.000
Epoch  68/100 | T=0.300 | Loss=0.8925 | Recall=0.1512 | Val_Recall=0.3224 | w_a=1.434 | w_b=1.000
Epoch  69/100 | T=0.300 | Loss=0.8940 | Recall=0.1050 | Val_Recall=0.3224 | w_a=1.678 | w_b=1.000
Epoch  70/100 | T=0.300 | Loss=0.8930 | Recall=0.1298 | Val_Recall=0.3224 | w_a=1.709 | w_b=1.000
Epoch  71/100 | T=0.300 | Loss=0.8920 | Recall=0.1282 | Val_Recall=0.3224 | w_a=1.476 | w_b=1.000
Epoch  72/100 | T=0.300 | Loss=0.8944 | Recall=0.1387 | Val_Recall=0.3224 | w_a=1.697 | w_b=1.000
Epoch  73/100 | T=0.300 | Loss=0.8937 | Recall=0.1474 | Val_Recall=0.3224 | w_a=1.637 | w_b=1.000
Epoch  74/100 | T=0.300 | Loss=0.8932 | Recall=0.1148 | Val_Recall=0.3224 | w_a=1.736 | w_b=1.000
Epoch  75/100 | T=0.300 | Loss=0.8940 | Recall=0.1315 | Val_Recall=0.3224 | w_a=1.693 | w_b=1.000
Epoch  76/100 | T=0.300 | Loss=0.8933 | Recall=0.1261 | Val_Recall=0.3224 | w_a=1.673 | w_b=1.000
Epoch  77/100 | T=0.300 | Loss=0.8932 | Recall=0.1276 | Val_Recall=0.3224 | w_a=1.680 | w_b=1.000
Epoch  78/100 | T=0.300 | Loss=0.8916 | Recall=0.1354 | Val_Recall=0.3224 | w_a=1.470 | w_b=1.000
Epoch  79/100 | T=0.300 | Loss=0.8914 | Recall=0.1180 | Val_Recall=0.3224 | w_a=1.405 | w_b=1.000
Epoch  80/100 | T=0.300 | Loss=0.8947 | Recall=0.1209 | Val_Recall=0.3224 | w_a=1.571 | w_b=1.000
Epoch  81/100 | T=0.300 | Loss=0.8931 | Recall=0.1211 | Val_Recall=0.3224 | w_a=1.327 | w_b=1.000
Epoch  82/100 | T=0.300 | Loss=0.8924 | Recall=0.1593 | Val_Recall=0.3224 | w_a=1.387 | w_b=1.000
Epoch  83/100 | T=0.300 | Loss=0.8911 | Recall=0.1558 | Val_Recall=0.3224 | w_a=1.335 | w_b=1.000
Epoch  84/100 | T=0.300 | Loss=0.8927 | Recall=0.1336 | Val_Recall=0.3224 | w_a=1.350 | w_b=1.000
Epoch  85/100 | T=0.300 | Loss=0.8939 | Recall=0.1395 | Val_Recall=0.3224 | w_a=1.614 | w_b=1.000
Epoch  86/100 | T=0.300 | Loss=0.8930 | Recall=0.1422 | Val_Recall=0.3224 | w_a=1.651 | w_b=1.000
Epoch  87/100 | T=0.300 | Loss=0.8932 | Recall=0.1256 | Val_Recall=0.3224 | w_a=1.663 | w_b=1.000
Epoch  88/100 | T=0.300 | Loss=0.8935 | Recall=0.1503 | Val_Recall=0.3224 | w_a=1.563 | w_b=1.000
Epoch  89/100 | T=0.300 | Loss=0.8929 | Recall=0.1479 | Val_Recall=0.3224 | w_a=1.651 | w_b=1.000
Epoch  90/100 | T=0.300 | Loss=0.8919 | Recall=0.1577 | Val_Recall=0.3224 | w_a=1.471 | w_b=1.000
Epoch  91/100 | T=0.300 | Loss=0.8924 | Recall=0.1478 | Val_Recall=0.3224 | w_a=1.475 | w_b=1.000
Epoch  92/100 | T=0.300 | Loss=0.8929 | Recall=0.1476 | Val_Recall=0.3224 | w_a=1.485 | w_b=1.000
Epoch  93/100 | T=0.300 | Loss=0.8931 | Recall=0.1498 | Val_Recall=0.3224 | w_a=1.625 | w_b=1.000
Epoch  94/100 | T=0.300 | Loss=0.8914 | Recall=0.1216 | Val_Recall=0.3224 | w_a=1.439 | w_b=1.000
Epoch  95/100 | T=0.300 | Loss=0.8919 | Recall=0.1201 | Val_Recall=0.3224 | w_a=1.466 | w_b=1.000
Epoch  96/100 | T=0.300 | Loss=0.8929 | Recall=0.1635 | Val_Recall=0.3224 | w_a=1.466 | w_b=1.000
Epoch  97/100 | T=0.300 | Loss=0.8930 | Recall=0.1371 | Val_Recall=0.3224 | w_a=1.519 | w_b=1.000
Epoch  98/100 | T=0.300 | Loss=0.8925 | Recall=0.1617 | Val_Recall=0.3224 | w_a=1.448 | w_b=1.000
Epoch  99/100 | T=0.300 | Loss=0.8933 | Recall=0.1402 | Val_Recall=0.3224 | w_a=1.434 | w_b=1.000
Epoch 100/100 | T=0.300 | Loss=0.8935 | Recall=0.1487 | Val_Recall=0.3224 | w_a=1.494 | w_b=1.000

✅ Training complete!
   Best validation Recall: 0.3224
   Model saved to: /root/QORE-VLM/exchange/idea7_phase2/20260731T120040/training/best_model.pt
